Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2022,3,Buenos Aires,4715469.0,6.199,4721668.0
2022,3,Capital Federal,1545534.0,2.145,1547679.0
2022,3,Catamarca,70292.0,1.0,70293.0
2022,3,Chaco,144141.0,5.0,144146.0
2022,3,Chubut,164874.0,904.0,165778.0
2022,3,Córdoba,1038600.0,68.0,1038668.0
2022,3,Corrientes,144842.0,4.0,144846.0
2022,3,Entre Ríos,268937.0,22.0,268959.0
2022,3,Formosa,68537.0,1.0,68538.0
2022,3,Jujuy,118823.0,0.0,118823.0
2022,3,La Pampa,115921.0,171.0,116092.0
2022,3,La Rioja,86860.0,4.0,86864.0
2022,3,Mendoza,288746.0,777.0,289523.0
2022,3,Misiones,182157.0,0.0,182157.0
2022,3,Neuquén,162693.0,468.0,163161.0
2022,3,Río Negro,160010.0,548.0,160558.0
2022,3,Salta,204536.0,5.0,204541.0
2022,3,San Juan,103118.0,281.0,103399.0
2022,3,San Luis,121888.0,182.0,122070.0
2022,3,Santa Cruz,49312.0,198.0,49510.0
2022,3,Santa Fe,887700.0,110.0,887810.0
2022,3,Santiago Del Estero,119030.0,2.0,119032.0
2022,3,Tierra Del Fuego,53584.0,312.0,53896.0
2022,3,Tucumán,263087.0,30.0,263117.0
2022,2,Buenos Aires,4660984.0,6.199,4667183.0
2022,2,Capital Federal,1534626.0,2.145,1536771.0
2022,2,Catamarca,67007.0,1.0,67008.0
2022,2,Chaco,143559.0,5.0,143564.0
2022,2,Chubut,161901.0,904.0,162805.0
2022,2,Córdoba,1026367.0,68.0,1026435.0
2022,2,Corrientes,144993.0,4.0,144997.0
2022,2,Entre Ríos,269330.0,22.0,269352.0
2022,2,Formosa,67881.0,0.0,67881.0
2022,2,Jujuy,115314.0,0.0,115314.0
2022,2,La Pampa,111356.0,171.0,111527.0
2022,2,La Rioja,86026.0,4.0,86030.0
2022,2,Mendoza,278785.0,777.0,279562.0
2022,2,Misiones,178813.0,0.0,178813.0
2022,2,Neuquén,161500.0,468.0,161968.0
2022,2,Río Negro,159216.0,548.0,159764.0
2022,2,Salta,203172.0,5.0,203177.0
2022,2,San Juan,100126.0,281.0,100407.0
2022,2,San Luis,121559.0,182.0,121741.0
2022,2,Santa Cruz,48987.0,198.0,49185.0
2022,2,Santa Fe,878749.0,110.0,878859.0
2022,2,Santiago Del Estero,118042.0,2.0,118044.0
2022,2,Tierra Del Fuego,53458.0,312.0,53770.0
2022,2,Tucumán,254497.0,30.0,254527.0
2022,1,Buenos Aires,4549131.0,6.293,4555424.0
2022,1,Capital Federal,1415378.0,2.163,1417541.0
2022,1,Catamarca,62377.0,1.0,62378.0
2022,1,Chaco,144114.0,5.0,144119.0
2022,1,Chubut,170701.0,927.0,171628.0
2022,1,Córdoba,1003729.0,74.0,1003803.0
2022,1,Corrientes,142574.0,4.0,142578.0
2022,1,Entre Ríos,267904.0,22.0,267926.0
2022,1,Formosa,54548.0,0.0,54548.0
2022,1,Jujuy,116509.0,0.0,116509.0
2022,1,La Pampa,109560.0,172.0,109732.0
2022,1,La Rioja,84299.0,4.0,84303.0
2022,1,Mendoza,274399.0,786.0,275185.0
2022,1,Misiones,171508.0,0.0,171508.0
2022,1,Neuquén,149208.0,471.0,149679.0
2022,1,Río Negro,156821.0,553.0,157374.0
2022,1,Salta,197510.0,5.0,197515.0
2022,1,San Juan,87888.0,290.0,88178.0
2022,1,San Luis,119659.0,185.0,119844.0
2022,1,Santa Cruz,48898.0,204.0,49102.0
2022,1,Santa Fe,870364.0,115.0,870479.0
2022,1,Santiago Del Estero,116459.0,2.0,116461.0
2022,1,Tierra Del Fuego,52298.0,313.0,52611.0
2022,1,Tucumán,245554.0,30.0,245584.0
2021,4,Buenos Aires,4502772.0,6.385,4509157.0
2021,4,Capital Federal,1409935.0,2.184,1412119.0
2021,4,Catamarca,59089.0,1.0,59090.0
2021,4,Chaco,143740.0,5.0,143745.0
2021,4,Chubut,159364.0,944.0,160308.0
2021,4,Córdoba,986693.0,77.0,986770.0
2021,4,Corrientes,135908.0,4.0,135912.0
2021,4,Entre Ríos,265024.0,22.0,265046.0
2021,4,Formosa,53663.0,0.0,53663.0
2021,4,Jujuy,113915.0,0.0,113915.0
2021,4,La Pampa,106834.0,173.0,107007.0
2021,4,La Rioja,83124.0,4.0,83128.0
2021,4,Mendoza,266783.0,804.0,267587.0
2021,4,Misiones,171132.0,0.0,171132.0
2021,4,Neuquén,146989.0,477.0,147466.0
2021,4,Río Negro,153189.0,564.0,153753.0
2021,4,Salta,199399.0,6.0,199405.0
2021,4,San Juan,79667.0,291.0,79958.0
2021,4,San Luis,118662.0,187.0,118849.0
2021,4,Santa Cruz,48276.0,210.0,48486.0
2021,4,Santa Fe,866265.0,176.0,866441.0
2021,4,Santiago Del Estero,115859.0,2.0,115861.0
2021,4,Tierra Del Fuego,52042.0,315.0,52357.0
2021,4,Tucumán,238609.0,30.0,238639.0
2021,3,Buenos Aires,4246425.0,5.184,4251609.0
2021,3,Capital Federal,1411797.0,1.608,1413405.0
2021,3,Catamarca,56253.0,1.0,56254.0
2021,3,Chaco,139868.0,3.0,139871.0
2021,3,Chubut,155266.0,800.0,156066.0
2021,3,Córdoba,946726.0,62.0,946788.0
2021,3,Corrientes,133816.0,3.0,133819.0
2021,3,Entre Ríos,260360.0,15.0,260375.0
2021,3,Formosa,52795.0,0.0,52795.0
2021,3,Jujuy,111158.0,0.0,111158.0
2021,3,La Pampa,100371.0,116.0,100487.0
2021,3,La Rioja,82157.0,3.0,82160.0
2021,3,Mendoza,255320.0,619.0,255939.0
2021,3,Misiones,158528.0,0.0,158528.0
2021,3,Neuquén,139436.0,373.0,139809.0
2021,3,Río Negro,144084.0,501.0,144585.0
2021,3,Salta,195831.0,2.0,195833.0
2021,3,San Juan,79227.0,256.0,79483.0
2021,3,San Luis,117716.0,148.0,117864.0
2021,3,Santa Cruz,48779.0,197.0,48976.0
2021,3,Santa Fe,841433.0,151.0,841584.0
2021,3,Santiago Del Estero,115457.0,1.0,115458.0
2021,3,Tierra Del Fuego,49934.0,289.0,50223.0
2021,3,Tucumán,232447.0,25.0,232472.0
2021,2,Buenos Aires,4127167.0,5.184,4132351.0
2021,2,Capital Federal,1398747.0,1.608,1400355.0
2021,2,Catamarca,55743.0,1.0,55744.0
2021,2,Chaco,140726.0,3.0,140729.0
2021,2,Chubut,138412.0,825.0,139237.0
2021,2,Córdoba,930818.0,62.0,930880.0
2021,2,Corrientes,129498.0,3.0,129501.0
2021,2,Entre Ríos,257617.0,15.0,257632.0
2021,2,Formosa,51551.0,0.0,51551.0
2021,2,Jujuy,111848.0,0.0,111848.0
2021,2,La Pampa,97551.0,116.0,97667.0
2021,2,La Rioja,81599.0,3.0,81602.0
2021,2,Mendoza,229052.0,619.0,229671.0
2021,2,Misiones,156176.0,0.0,156176.0
2021,2,Neuquén,137877.0,373.0,138250.0
2021,2,Río Negro,143583.0,501.0,144084.0
2021,2,Salta,191637.0,2.0,191639.0
2021,2,San Juan,78677.0,256.0,78933.0
2021,2,San Luis,122670.0,148.0,122818.0
2021,2,Santa Cruz,48785.0,197.0,48982.0
2021,2,Santa Fe,840449.0,151.0,840600.0
2021,2,Santiago Del Estero,114089.0,1.0,114090.0
2021,2,Tierra Del Fuego,35404.0,289.0,35693.0
2021,2,Tucumán,233026.0,25.0,233051.0
2021,1,Buenos Aires,4054936.0,5.066,4060002.0
2021,1,Capital Federal,1378283.0,1.39,1379673.0
2021,1,Catamarca,51967.0,1.0,51968.0
2021,1,Chaco,139767.0,3.0,139770.0
2021,1,Chubut,131515.0,825.0,132340.0
2021,1,Córdoba,910826.0,55.0,910881.0
2021,1,Corrientes,126622.0,3.0,126625.0
2021,1,Entre Ríos,251950.0,13.0,251963.0
2021,1,Formosa,50686.0,0.0,50686.0
2021,1,Jujuy,110456.0,0.0,110456.0
2021,1,La Pampa,96989.0,116.0,97105.0
2021,1,La Rioja,52625.0,3.0,52628.0
2021,1,Mendoza,218308.0,615.0,218923.0
2021,1,Misiones,149387.0,0.0,149387.0
2021,1,Neuquén,132862.0,373.0,133235.0
2021,1,Río Negro,140667.0,501.0,141168.0
2021,1,Salta,187572.0,2.0,187574.0
2021,1,San Juan,78011.0,256.0,78267.0
2021,1,San Luis,119006.0,148.0,119154.0
2021,1,Santa Cruz,45868.0,197.0,46065.0
2021,1,Santa Fe,825990.0,137.0,826127.0
2021,1,Santiago Del Estero,111640.0,1.0,111641.0
2021,1,Tierra Del Fuego,40133.0,289.0,40422.0
2021,1,Tucumán,231890.0,22.0,231912.0
2020,4,Buenos Aires,4028195.0,5.066,4033261.0
2020,4,Capital Federal,1378140.0,1.39,1379530.0
2020,4,Catamarca,52395.0,1.0,52396.0
2020,4,Chaco,139088.0,3.0,139091.0
2020,4,Chubut,129749.0,825.0,130574.0
2020,4,Córdoba,902646.0,55.0,902701.0
2020,4,Corrientes,125656.0,3.0,125659.0
2020,4,Entre Ríos,247368.0,13.0,247381.0
2020,4,Formosa,50206.0,0.0,50206.0
2020,4,Jujuy,105851.0,0.0,105851.0
2020,4,La Pampa,96779.0,116.0,96895.0
2020,4,La Rioja,52775.0,3.0,52778.0
2020,4,Mendoza,214838.0,615.0,215453.0
2020,4,Misiones,147161.0,0.0,147161.0
2020,4,Neuquén,132762.0,373.0,133135.0
2020,4,Río Negro,140709.0,501.0,141210.0
2020,4,Salta,187388.0,2.0,187390.0
2020,4,San Juan,72340.0,256.0,72596.0
